"Schema Type","Table Name","Column Name","GA4 Source Field","Business Description","Data Type","Grain","Nullable","Transformation Rule","Notes"
"DIMENSION","dim_user","ga_user_id","user_pseudo_id","GA4 client ID (anonymous)","VARCHAR(100)","Per User","N","Direct mapping","Client-side cookie ID"
"DIMENSION","dim_user","user_id","user_id","Custom user ID (authenticated)","VARCHAR(100)","Per User","Y","Direct mapping","Set via setUserId()"
"DIMENSION","dim_user","first_visit_date","first_visit_date","Date of first visit","DATE","Per User","N","PARSE_DATE('%Y%m%d', first_visit_date)","First touch date"
"DIMENSION","dim_user","user_type","newVsReturning","New vs returning user","VARCHAR(20)","Per User","N","Direct mapping","'new' or 'returning'"
"DIMENSION","dim_user","lifetime_session_count","ga_session_number","Total sessions by user","INTEGER","Per User","N","MAX(ga_session_number)","Updated incrementally"
"DIMENSION","dim_user","first_traffic_source","firstUserSource","Source of first acquisition","VARCHAR(100)","Per User","Y","Direct mapping","First touch source"
"DIMENSION","dim_user","first_traffic_medium","firstUserMedium","Medium of first acquisition","VARCHAR(50)","Per User","Y","Direct mapping","First touch medium"
"DIMENSION","dim_user","first_campaign","firstUserCampaign","Campaign of first acquisition","VARCHAR(200)","Per User","Y","Direct mapping","First touch campaign"
"DIMENSION","dim_geography","geo_key","country + region + city","Surrogate key for geography","INTEGER","Per Location","N","HASH(CONCAT(country, region, city))","Primary key"
"DIMENSION","dim_geography","continent","continent","Continent name","VARCHAR(50)","Per Location","Y","Direct mapping","e.g., Americas, Europe"
"DIMENSION","dim_geography","sub_continent","subContinent","Sub-continent region","VARCHAR(100)","Per Location","Y","Direct mapping","e.g., Northern America"
"DIMENSION","dim_geography","country","country","Country name","VARCHAR(100)","Per Location","Y","Direct mapping","Full country name"
"DIMENSION","dim_geography","country_code","countryId","ISO country code","VARCHAR(5)","Per Location","Y","Direct mapping","ISO 3166-1 alpha-2"
"DIMENSION","dim_geography","region","region","State/Province/Region","VARCHAR(100)","Per Location","Y","Direct mapping","Administrative region"
"DIMENSION","dim_geography","city","city","City name","VARCHAR(100)","Per Location","Y","Direct mapping","City name"
"DIMENSION","dim_geography","metro","metro","Metropolitan area","VARCHAR(100)","Per Location","Y","Direct mapping","DMA region (US)"
"DIMENSION","dim_device","device_key","deviceCategory + browser + operatingSystem","Surrogate key for device","INTEGER","Per Device Config","N","HASH(CONCAT(deviceCategory, browser, operatingSystem))","Primary key"
"DIMENSION","dim_device","device_category","deviceCategory","Device type","VARCHAR(20)","Per Device Config","N","Direct mapping","desktop, mobile, tablet"
"DIMENSION","dim_device","mobile_device_brand","mobileDeviceBranding","Mobile device manufacturer","VARCHAR(50)","Per Device Config","Y","Direct mapping","e.g., Apple, Samsung"
"DIMENSION","dim_device","mobile_device_model","mobileDeviceModel","Mobile device model","VARCHAR(100)","Per Device Config","Y","Direct mapping","e.g., iPhone 13"
"DIMENSION","dim_device","operating_system","operatingSystem","Operating system","VARCHAR(50)","Per Device Config","N","Direct mapping","e.g., iOS, Android, Windows"
"DIMENSION","dim_device","os_version","operatingSystemVersion","OS version","VARCHAR(50)","Per Device Config","Y","Direct mapping","e.g., 15.0, 11"
"DIMENSION","dim_device","browser","browser","Browser name","VARCHAR(50)","Per Device Config","N","Direct mapping","e.g., Chrome, Safari"
"DIMENSION","dim_device","browser_version","browserVersion","Browser version","VARCHAR(50)","Per Device Config","Y","Direct mapping","e.g., 96.0.4664.110"
"DIMENSION","dim_device","screen_resolution","screenResolution","Screen resolution","VARCHAR(20)","Per Device Config","Y","Direct mapping","e.g., 1920x1080"
"DIMENSION","dim_device","language","language","Browser language","VARCHAR(20)","Per Device Config","Y","Direct mapping","e.g., en-us, de"
"DIMENSION","dim_traffic_source","traffic_source_key","source + medium + campaign","Surrogate key for traffic source","INTEGER","Per Source Config","N","HASH(CONCAT(source, medium, campaign))","Primary key"
"DIMENSION","dim_traffic_source","source","sessionSource / source","Traffic source","VARCHAR(100)","Per Source Config","Y","Direct mapping","e.g., google, facebook"
"DIMENSION","dim_traffic_source","medium","sessionMedium / medium","Traffic medium","VARCHAR(50)","Per Source Config","Y","Direct mapping","e.g., organic, cpc, email"
"DIMENSION","dim_traffic_source","campaign","sessionCampaign / campaign","Campaign name","VARCHAR(200)","Per Source Config","Y","Direct mapping","UTM campaign parameter"
"DIMENSION","dim_traffic_source","campaign_id","sessionCampaignId","Campaign ID","VARCHAR(100)","Per Source Config","Y","Direct mapping","UTM campaign ID"
"DIMENSION","dim_traffic_source","content","content","Ad content","VARCHAR(200)","Per Source Config","Y","Direct mapping","UTM content parameter"
"DIMENSION","dim_traffic_source","term","term","Search term","VARCHAR(200)","Per Source Config","Y","Direct mapping","UTM term parameter"
"DIMENSION","dim_traffic_source","default_channel_group","sessionDefaultChannelGroup","Default channel grouping","VARCHAR(50)","Per Source Config","N","Direct mapping","e.g., Organic Search, Direct"
"DIMENSION","dim_traffic_source","google_ads_campaign","googleAdsCampaignName","Google Ads campaign name","VARCHAR(200)","Per Source Config","Y","Direct mapping","Linked Google Ads data"
"DIMENSION","dim_traffic_source","google_ads_group","googleAdsAdGroupName","Google Ads ad group name","VARCHAR(200)","Per Source Config","Y","Direct mapping","Linked Google Ads data"
"DIMENSION","dim_traffic_source","google_ads_keyword","googleAdsKeyword","Google Ads keyword","VARCHAR(200)","Per Source Config","Y","Direct mapping","Linked Google Ads data"
"DIMENSION","dim_page","page_key","pagePath + hostname","Surrogate key for page","INTEGER","Per Page","N","HASH(CONCAT(hostname, pagePath))","Primary key"
"DIMENSION","dim_page","hostname","hostName","Website hostname","VARCHAR(200)","Per Page","N","Direct mapping","e.g., www.example.com"
"DIMENSION","dim_page","page_path","pagePath","Page URL path","VARCHAR(500)","Per Page","N","Direct mapping","e.g., /products/item-123"
"DIMENSION","dim_page","page_path_level_1","pagePathLevel1","First level of path","VARCHAR(100)","Per Page","Y","SPLIT(pagePath, '/')[1]","First directory"
"DIMENSION","dim_page","page_path_level_2","pagePathLevel2","Second level of path","VARCHAR(100)","Per Page","Y","SPLIT(pagePath, '/')[2]","Second directory"
"DIMENSION","dim_page","page_path_level_3","pagePathLevel3","Third level of path","VARCHAR(100)","Per Page","Y","SPLIT(pagePath, '/')[3]","Third directory"
"DIMENSION","dim_page","page_title","pageTitle","Page title","VARCHAR(500)","Per Page","Y","Direct mapping","HTML title tag"
"DIMENSION","dim_page","page_referrer","pageReferrer","Referring page URL","VARCHAR(500)","Per Page","Y","Direct mapping","Previous page URL"
"DIMENSION","dim_page","landing_page","landingPage","Session landing page","VARCHAR(500)","Per Page","Y","Direct mapping","First page of session"
"DIMENSION","dim_page","exit_page","exitPage","Session exit page","VARCHAR(500)","Per Page","Y","Direct mapping","Last page of session"
"DIMENSION","dim_page","content_group","contentGroup","Content grouping","VARCHAR(100)","Per Page","Y","Direct mapping","Custom content groups"
"DIMENSION","dim_event","event_key","eventName","Surrogate key for event","INTEGER","Per Event Type","N","HASH(eventName)","Primary key"
"DIMENSION","dim_event","event_name","eventName","Event name","VARCHAR(100)","Per Event Type","N","Direct mapping","e.g., page_view, purchase"
"DIMENSION","dim_event","event_category","event_params.event_category","Event category (legacy)","VARCHAR(100)","Per Event Type","Y","EXTRACT from event_params","Custom parameter"
"DIMENSION","dim_event","event_action","event_params.event_action","Event action (legacy)","VARCHAR(100)","Per Event Type","Y","EXTRACT from event_params","Custom parameter"
"DIMENSION","dim_event","event_label","event_params.event_label","Event label (legacy)","VARCHAR(200)","Per Event Type","Y","EXTRACT from event_params","Custom parameter"
"DIMENSION","dim_event","is_conversion","isConversionEvent","Conversion event flag","BOOLEAN","Per Event Type","N","Direct mapping","Marked as conversion in GA4"
"DIMENSION","dim_product","product_key","item_id","Surrogate key for product","INTEGER","Per Product","N","HASH(item_id)","Primary key"
"DIMENSION","dim_product","item_id","items.item_id","Product/Item ID","VARCHAR(100)","Per Product","N","Direct mapping","SKU or product ID"
"DIMENSION","dim_product","item_name","items.item_name","Product name","VARCHAR(200)","Per Product","Y","Direct mapping","Product display name"
"DIMENSION","dim_product","item_brand","items.item_brand","Product brand","VARCHAR(100)","Per Product","Y","Direct mapping","Brand name"
"DIMENSION","dim_product","item_category","items.item_category","Product category level 1","VARCHAR(100)","Per Product","Y","Direct mapping","Top-level category"
"DIMENSION","dim_product","item_category_2","items.item_category2","Product category level 2","VARCHAR(100)","Per Product","Y","Direct mapping","Sub-category"
"DIMENSION","dim_product","item_category_3","items.item_category3","Product category level 3","VARCHAR(100)","Per Product","Y","Direct mapping","Sub-sub-category"
"DIMENSION","dim_product","item_category_4","items.item_category4","Product category level 4","VARCHAR(100)","Per Product","Y","Direct mapping","Additional category"
"DIMENSION","dim_product","item_category_5","items.item_category5","Product category level 5","VARCHAR(100)","Per Product","Y","Direct mapping","Additional category"
"DIMENSION","dim_product","item_variant","items.item_variant","Product variant","VARCHAR(100)","Per Product","Y","Direct mapping","Size, color, etc."
"DIMENSION","dim_product","item_list_name","items.item_list_name","Product list name","VARCHAR(100)","Per Product","Y","Direct mapping","e.g., Search Results"
"DIMENSION","dim_product","item_list_id","items.item_list_id","Product list ID","VARCHAR(100)","Per Product","Y","Direct mapping","List identifier"
"FACT","fact_sessions","session_key","ga_session_id","Session unique identifier","INTEGER","Per Session","N","ga_session_id","Degenerate dimension"
"FACT","fact_sessions","date_key","date","Foreign key to dim_date","INTEGER","Per Session","N","CAST(REPLACE(date, '-', '') AS INT)","FK to dim_date"
"FACT","fact_sessions","time_key","hour","Foreign key to dim_time","INTEGER","Per Session","N","hour","FK to dim_time"
"FACT","fact_sessions","user_key","user_pseudo_id","Foreign key to dim_user","INTEGER","Per Session","N","Lookup","FK to dim_user"
"FACT","fact_sessions","geo_key","country + region + city","Foreign key to dim_geography","INTEGER","Per Session","N","Lookup","FK to dim_geography"
"FACT","fact_sessions","device_key","deviceCategory + browser + OS","Foreign key to dim_device","INTEGER","Per Session","N","Lookup","FK to dim_device"
"FACT","fact_sessions","traffic_source_key","source + medium + campaign","Foreign key to dim_traffic_source","INTEGER","Per Session","N","Lookup","FK to dim_traffic_source"
"FACT","fact_sessions","landing_page_key","landingPage","Foreign key to dim_page","INTEGER","Per Session","Y","Lookup","FK to dim_page"
"FACT","fact_sessions","session_number","ga_session_number","Session number for user","INTEGER","Per Session","N","Direct mapping","Sequential session count"
"FACT","fact_sessions","session_engaged","session_engaged","Engaged session indicator","BOOLEAN","Per Session","N","Direct mapping","1 if engaged, 0 if not"
"FACT","fact_sessions","engagement_time_seconds","engagement_time_msec","Total engagement time","DECIMAL(10,2)","Per Session","N","engagement_time_msec / 1000","Converted from milliseconds"
"FACT","fact_sessions","event_count","eventCount","Number of events in session","INTEGER","Per Session","N","COUNT(events)","Aggregated"
"FACT","fact_sessions","pageview_count","screenPageViews","Number of pageviews","INTEGER","Per Session","N","COUNT(page_view events)","Aggregated"
"FACT","fact_sessions","session_duration_seconds","session_duration","Session duration","DECIMAL(10,2)","Per Session","N","MAX(event_timestamp) - MIN(event_timestamp)","Calculated"
"FACT","fact_sessions","bounce_flag","bounces","Session bounced indicator","BOOLEAN","Per Session","N","IF(engaged_sessions = 0, 1, 0)","Opposite of engaged"
"FACT","fact_sessions","conversion_count","conversions","Number of conversions","INTEGER","Per Session","N","COUNT(conversion events)","Aggregated"
"FACT","fact_sessions","total_revenue","totalRevenue","Total revenue in session","DECIMAL(15,2)","Per Session","Y","SUM(ecommerce.purchase_revenue)","In account currency"
"FACT","fact_pageviews","pageview_key","event_timestamp + user_pseudo_id","Unique pageview identifier","BIGINT","Per Pageview","N","HASH(event_timestamp, user_pseudo_id, page)","Primary key"
"FACT","fact_pageviews","date_key","date","Foreign key to dim_date","INTEGER","Per Pageview","N","CAST(REPLACE(date, '-', '') AS INT)","FK to dim_date"
"FACT","fact_pageviews","time_key","hour","Foreign key to dim_time","INTEGER","Per Pageview","N","hour","FK to dim_time"
"FACT","fact_pageviews","user_key","user_pseudo_id","Foreign key to dim_user","INTEGER","Per Pageview","N","Lookup","FK to dim_user"
"FACT","fact_pageviews","session_key","ga_session_id","Foreign key to session","INTEGER","Per Pageview","N","ga_session_id","FK to fact_sessions"
"FACT","fact_pageviews","page_key","pagePath + hostname","Foreign key to dim_page","INTEGER","Per Pageview","N","Lookup","FK to dim_page"
"FACT","fact_pageviews","entrance_flag","entrances","Page was entrance","BOOLEAN","Per Pageview","N","Direct mapping","1 if first page"
"FACT","fact_pageviews","exit_flag","exits","Page was exit","BOOLEAN","Per Pageview","N","Direct mapping","1 if last page"
"FACT","fact_pageviews","time_on_page_seconds","engagementTimeMsec","Time spent on page","DECIMAL(10,2)","Per Pageview","Y","engagement_time_msec / 1000","Converted from milliseconds"
"FACT","fact_pageviews","scroll_depth","percent_scrolled","Scroll depth percentage","INTEGER","Per Pageview","Y","MAX(percent_scrolled)","0-100 range"
"FACT","fact_events","event_key","event_timestamp + user_pseudo_id + event_name","Unique event identifier","BIGINT","Per Event","N","HASH(event_timestamp, user_pseudo_id, event_name)","Primary key"
"FACT","fact_events","date_key","date","Foreign key to dim_date","INTEGER","Per Event","N","CAST(REPLACE(date, '-', '') AS INT)","FK to dim_date"
"FACT","fact_events","time_key","hour","Foreign key to dim_time","INTEGER","Per Event","N","hour","FK to dim_time"
"FACT","fact_events","user_key","user_pseudo_id","Foreign key to dim_user","INTEGER","Per Event","N","Lookup","FK to dim_user"
"FACT","fact_events","session_key","ga_session_id","Foreign key to session","INTEGER","Per Event","N","ga_session_id","FK to fact_sessions"
"FACT","fact_events","event_type_key","eventName","Foreign key to dim_event","INTEGER","Per Event","N","Lookup","FK to dim_event"
"FACT","fact_events","page_key","pagePath","Foreign key to dim_page","INTEGER","Per Event","Y","Lookup","FK to dim_page"
"FACT","fact_events","event_timestamp","event_timestamp","Event timestamp (microseconds)","BIGINT","Per Event","N","Direct mapping","UNIX timestamp in microseconds"
"FACT","fact_events","event_value","event_params.value","Event value","DECIMAL(15,2)","Per Event","Y","EXTRACT from event_params","Numeric value"
"FACT","fact_events","is_conversion","isConversionEvent","Conversion indicator","BOOLEAN","Per Event","N","Direct mapping","TRUE if conversion event"
"FACT","fact_ecommerce","transaction_key","ecommerce.transaction_id","Unique transaction identifier","VARCHAR(100)","Per Transaction","N","Direct mapping","Primary key"
"FACT","fact_ecommerce","date_key","date","Foreign key to dim_date","INTEGER","Per Transaction","N","CAST(REPLACE(date, '-', '') AS INT)","FK to dim_date"
"FACT","fact_ecommerce","time_key","hour","Foreign key to dim_time","INTEGER","Per Transaction","N","hour","FK to dim_time"
"FACT","fact_ecommerce","user_key","user_pseudo_id","Foreign key to dim_user","INTEGER","Per Transaction","N","Lookup","FK to dim_user"
"FACT","fact_ecommerce","session_key","ga_session_id","Foreign key to session","INTEGER","Per Transaction","N","ga_session_id","FK to fact_sessions"
"FACT","fact_ecommerce","traffic_source_key","source + medium + campaign","Foreign key to dim_traffic_source","INTEGER","Per Transaction","N","Lookup","FK to dim_traffic_source"
"FACT","fact_ecommerce","transaction_revenue","ecommerce.purchase_revenue","Total transaction revenue","DECIMAL(15,2)","Per Transaction","N","Direct mapping","In account currency"
"FACT","fact_ecommerce","transaction_tax","ecommerce.tax_value","Tax amount","DECIMAL(15,2)","Per Transaction","Y","Direct mapping","Tax portion"
"FACT","fact_ecommerce","transaction_shipping","ecommerce.shipping_value","Shipping amount","DECIMAL(15,2)","Per Transaction","Y","Direct mapping","Shipping cost"
"FACT","fact_ecommerce","transaction_refund","ecommerce.refund_value","Refund amount","DECIMAL(15,2)","Per Transaction","Y","Direct mapping","Refund value"
"FACT","fact_ecommerce","item_quantity","items.quantity","Total items purchased","INTEGER","Per Transaction","N","SUM(items.quantity)","Aggregated"
"FACT","fact_ecommerce","unique_items","items.item_id","Distinct items purchased","INTEGER","Per Transaction","N","COUNT(DISTINCT items.item_id)","Aggregated"
"FACT","fact_ecommerce_items","item_line_key","transaction_id + item_id","Unique line item identifier","VARCHAR(200)","Per Line Item","N","CONCAT(transaction_id, item_id)","Primary key"
"FACT","fact_ecommerce_items","transaction_key","ecommerce.transaction_id","Foreign key to fact_ecommerce","VARCHAR(100)","Per Line Item","N","Direct mapping","FK to fact_ecommerce"
"FACT","fact_ecommerce_items","product_key","items.item_id","Foreign key to dim_product","INTEGER","Per Line Item","N","Lookup","FK to dim_product"
"FACT","fact_ecommerce_items","date_key","date","Foreign key to dim_date","INTEGER","Per Line Item","N","CAST(REPLACE(date, '-', '') AS INT)","FK to dim_date"
"FACT","fact_ecommerce_items","item_price","items.price","Item unit price","DECIMAL(15,2)","Per Line Item","N","Direct mapping","Price per unit"
"FACT","fact_ecommerce_items","item_quantity","items.quantity","Quantity purchased","INTEGER","Per Line Item","N","Direct mapping","Units purchased"
"FACT","fact_ecommerce_items","item_revenue","items.item_revenue","Line item revenue","DECIMAL(15,2)","Per Line Item","N","items.price * items.quantity","Calculated"
"FACT","fact_ecommerce_items","item_discount","items.discount","Discount amount","DECIMAL(15,2)","Per Line Item","Y","Direct mapping","Discount applied"
"FACT","fact_ecommerce_items","item_coupon","items.coupon","Coupon code used","VARCHAR(50)","Per Line Item","Y","Direct mapping","Coupon identifier"
"FACT","fact_ecommerce_items","item_list_index","items.index","Position in product list","INTEGER","Per Line Item","Y","Direct mapping","0-based position"
"FACT","fact_daily_aggregate","date_key","date","Foreign key to dim_date","INTEGER","Per Day","N","CAST(REPLACE(date, '-', '') AS INT)","FK to dim_date"
"FACT","fact_daily_aggregate","total_users","totalUsers","Total unique users","INTEGER","Per Day","N","COUNT(DISTINCT user_pseudo_id)","Aggregated"
"FACT","fact_daily_aggregate","new_users","newUsers","New users","INTEGER","Per Day","N","COUNT(DISTINCT user_pseudo_id WHERE new = TRUE)","Aggregated"
"FACT","fact_daily_aggregate","returning_users","returningUsers","Returning users","INTEGER","Per Day","N","total_users - new_users","Calculated"
"FACT","fact_daily_aggregate","total_sessions","sessions","Total sessions","INTEGER","Per Day","N","COUNT(DISTINCT ga_session_id)","Aggregated"
"FACT","fact_daily_aggregate","engaged_sessions","engagedSessions","Engaged sessions","INTEGER","Per Day","N","COUNT(sessions WHERE engaged = TRUE)","Aggregated"
"FACT","fact_daily_aggregate","engagement_rate","engagementRate","Engagement rate","DECIMAL(5,4)","Per Day","N","engaged_sessions / total_sessions","Calculated"
"FACT","fact_daily_aggregate","avg_engagement_time","averageEngagementTime","Average engagement time","DECIMAL(10,2)","Per Day","N","AVG(engagement_time_seconds)","In seconds"
"FACT","fact_daily_aggregate","bounce_rate","bounceRate","Bounce rate","DECIMAL(5,4)","Per Day","N","1 - engagement_rate","Calculated"
"FACT","fact_daily_aggregate","sessions_per_user","sessionsPerUser","Sessions per user","DECIMAL(10,2)","Per Day","N","total_sessions / total_users","Calculated"
"FACT","fact_daily_aggregate","total_pageviews","screenPageViews","Total pageviews","INTEGER","Per Day","N","COUNT(page_view events)","Aggregated"
"FACT","fact_daily_aggregate","pages_per_session","screenPageViewsPerSession","Pages per session","DECIMAL(10,2)","Per Day","N","total_pageviews / total_sessions","Calculated"
"FACT","fact_daily_aggregate","total_events","eventCount","Total events","INTEGER","Per Day","N","COUNT(events)","Aggregated"
"FACT","fact_daily_aggregate","events_per_session","eventsPerSession","Events per session","DECIMAL(10,2)","Per Day","N","total_events / total_sessions","Calculated"
"FACT","fact_daily_aggregate","total_conversions","conversions","Total conversions","INTEGER","Per Day","N","COUNT(conversion events)","Aggregated"
"FACT","fact_daily_aggregate","conversion_rate","conversionRate","User conversion rate","DECIMAL(5,4)","Per Day","N","converting_users / total_users","Calculated"
"FACT","fact_daily_aggregate","total_revenue","totalRevenue","Total revenue","DECIMAL(15,2)","Per Day","Y","SUM(purchase_revenue)","In account currency"
"FACT","fact_daily_aggregate","total_transactions","transactions","Total transactions","INTEGER","Per Day","Y","COUNT(purchase events)","E-commerce only"
"FACT","fact_daily_aggregate","avg_order_value","averagePurchaseRevenue","Average order value","DECIMAL(15,2)","Per Day","Y","total_revenue / total_transactions","Calculated"
